,Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,nu,Fluid_Velocity,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged?
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.00217,1000,0,0,0.0132,1.00E-05,0.01,0.052595176,0.189970389,1.460857034,1.637191875,0.005057992,0.005656569,0.006018506,0.007206107,0.00915095,0.010665411,0.020941556,T1.32D0.66d.4356Case,500000,FALSE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.0025,1000,0,0,0.025,1.00E-05,0.01,0.420932114,0.455197185,0.694612622,0.282949881,0.013446281,0.015684412,0.016651452,0.018690734,0.020927113,0.022425905,0.034501419,T2.5D1d.5Case,500000,FALSE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00016,1000,0,0,0.002,1.00E-05,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,T.2D0.1d.033Case,92000,-1
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00025,1000,0,0,0.0015,1.00E-05,0.01,0.080295071,0.16165702,1.640280843,2.446776394,0.00095786,0.002547074,0.003532243,0.005522988,0.007440748,0.008658721,0.017034763,T.15D0.1d.05Case,500000,FALSE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.0025,1000,0,0,0.01,1.00E-05,0.01,0.378414869,0.404993385,0.576021194,-0.147365645,0.010139552,0.012712168,0.013840436,0.016137767,0.018459216,0.020088386,0.031978874,T1D1d.5Case,500000,FALSE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.00165,1000,0,0,0.02,1.00E-05,0.01,0.397834629,0.43818745,0.704892159,0.093780542,0.012320961,0.014762856,0.015773306,0.017746541,0.019941904,0.021469214,0.033309288,T2D1d.33Case,500000,FALSE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.00165,1000,0,0,0.0132,1.00E-05,0.01,0.341839075,0.383733541,0.725450516,0.082193405,0.00958686,0.011672637,0.012622136,0.014586556,0.016711121,0.018184551,0.029232353,T1.32D0.66d.330Case,500000,FALSE
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.0005,1000,0,0,0.0015,1.00E-05,0.01,0.000237271,0.069144882,2.907540798,8.50550068,0.001346177,0.001505358,0.001607964,0.001956139,0.002879948,0.003911708,0.011797474,T.15D0.1d.1Case,500000,TRUE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.00108,1000,0,0,0.0066,1.00E-05,0.01,0.305425972,0.352765262,0.687123537,-0.107549598,0.007311276,0.009716013,0.010708369,0.012762397,0.01494449,0.016481083,0.027077311,T.66D0.66d.2178Case,500000,FALSE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.00217,1000,0,0,0.0165,1.00E-05,0.01,0.275285304,0.314318687,0.915459096,0.673442518,0.005798785,0.00797556,0.009226791,0.01173012,0.014236478,0.015837607,0.026737436,T1.650D0.66d.4356Case,500000,FALSE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.00165,1000,0,0,0.0099,1.00E-05,0.01,0.325901628,0.36745742,0.741687715,0.152914487,0.008798845,0.011164317,0.01219483,0.014251917,0.016457312,0.017993572,0.028984741,T.990D0.66d.330Case,500000,FALSE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00108,1000,0,0,0.00825,1.00E-05,0.01,0.202983126,0.257657647,1.144086123,1.460842287,0.003686156,0.006274241,0.007440867,0.009646952,0.011781251,0.013221365,0.023269179,T.825D0.33d.2178Case,500000,FALSE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00108,1000,0,0,0.0099,1.00E-05,0.01,0.233433604,0.28640759,1.178137422,1.522631827,0.006651556,0.008571611,0.009399013,0.011134214,0.012972429,0.01423809,0.023665623,T.99D0.33d.2178Case,500000,FALSE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.00217,1000,0,0,0.0099,1.00E-05,0.01,0.001262501,0.068119802,3.176421642,10.33071899,0.004991528,0.005349031,0.005529847,0.005957972,0.006549047,0.007117247,0.015271541,T.990D0.66d.4356Case,434000,TRUE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.0033,1000,0,0,0.02,1.00E-05,0.01,0.077237159,0.198297903,1.339664102,1.038847417,0.007516878,0.008287157,0.008742112,0.01006727,0.012076231,0.013572773,0.024440972,T2D1d.66Case,500000,FALSE
0,0.376868898,0.010339723,0.002335244,0.008581805,0.006748509,0.005,1000,0,0,0.03,1.00E-05,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,T3D1d1Case,0,-1
0,0.666019722,0.001149445,0.001036552,0.008159012,0.006387558,0.00016,1000,0,0,0.0025,1.00E-05,0.01,0.314394951,4.571557045,6.536997795,46.56105676,0.002752403,0.005906082,0.00729216,0.010053793,0.012757304,0.014453636,0.025148296,T.25D0.1d.033Case,295000,TRUE
0,0.451106754,0.006994528,0.002998399,0.008906519,0.006971193,0.00165,1000,0,0,0.0066,1.00E-05,0.01,0.229979366,0.282397747,0.705964565,-0.380154477,0.004259098,0.00573679,0.006925731,0.009514212,0.012035835,0.013678677,0.024275604,T.66D0.66d.330Case,500000,FALSE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00054,1000,0,0,0.00495,1.00E-05,0.01,0.199586913,0.261063457,1.140914083,0.926527057,0.005182519,0.007126846,0.007976968,0.009693029,0.011464683,0.012684944,0.021883363,T.495D0.33d.1089Case,500000,FALSE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00054,1000,0,0,0.0033,1.00E-05,0.01,0.182515055,0.251580149,1.122737288,0.781640709,0.004565351,0.006510792,0.007383919,0.00923044,0.011142569,0.012439341,0.021819513,T.33D0.33d.1089Case,500000,FALSE
0,0.549491903,0.003490589,0.001265723,0.008561619,0.006636852,0.00082,1000,0,0,0.00825,1.00E-05,0.01,0.216993093,0.274628669,1.158629537,1.195190293,0.006346059,0.008151348,0.008958977,0.010646348,0.012470163,0.013734821,0.023013547,T.825D0.33d.165Case,500000,FALSE
