Solid_Volume_Fraction,Average_Pore_Size,Pore_Size_Std,Average_Sphere_Radius,Sphere_Radius_Std,Particle_Radius,Particle_Rate,Atom_Atom_CohesiveEnergy,Atom_Wall_CohesiveEnergy,Thickness,nu,Fluid_Velocity,Umedian,Umean,Skew,Kurt,Mean_Min_Dist10,Mean_Min_Dist25,Mean_Min_Dist33,Mean_Min_Dist50,Mean_Min_Dist66,Mean_Min_Dist75,Mean_Min_Dist100,Names,EndTime,Clogged,Particle_Volume,Particle_Mass,particle_diameter_BY_pore_size,particle_diameter_BY_Thickness,particle_diameter_BY_sphere_diameter,pore_size_BY_sphere_diameter,thickness_BY_pore_size,U_scaled,AAND,AWND,Throat_Flux,log(nu),Volume_Fraction,Umedian_BY_Umean,ResTime,U,pore_size_std_BY_pore_size,sphere_size_std_BY_pore_size,D10,D25,D33,D50,D66,D75,D100,Clogging_Number
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.00175,10000,10000,0,0.005,1.00E-05,0.15,0.001372295,0.01681016,5.880691528,41.84804298,0.003639592,0.003777932,0.003866333,0.004088854,0.004347245,0.004530596,0.006441753,aaE10000C10000D0.5dRatio0.7Case,3.02,1,2.24E-08,6.73E-05,0.679608483,0.7,0.22311909,0.328305334,0.970869262,5.29E-06,145.7725948,0,19253.69809,-5,0.519380742,0.081634857,0.0742,1.868438744,0.380660388,1.529467708,0.365887166,0.584392513,0.679582353,0.905254011,1.190465775,1.419693048,4.892152406,0.018849295
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.002,5000,1000,0,0.005,1.00E-05,0.15,0.000943614,0.011692555,7.267318249,63.71473968,0.004156542,0.004318597,0.004418829,0.004673192,0.004968175,0.005180185,0.007281537,aaE1000C5000D0.5dRatio0.8Case,3.7,1,3.35E-08,0.000100531,0.77669541,0.8,0.254993246,0.328305334,0.970869262,1.21E-05,12.75510204,0,9626.849045,-5,0.519380742,0.080702122,2.27,64.08512966,1.203030919,3.015199455,0.314724444,0.525886667,0.647906667,1.002922222,1.666297778,2.38246,9.506827778,0.014154838
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.00175,10000,50000,0,0.005,1.00E-05,0.15,0.001047796,0.015129237,6.133441925,44.43811787,0.003643698,0.003781467,0.003867805,0.004089568,0.004348384,0.004531557,0.006432978,aaE50000C10000D0.5dRatio0.7Case,2.86,1,2.24E-08,6.73E-05,0.679608483,0.7,0.22311909,0.328305334,0.970869262,5.29E-06,728.8629738,0,19253.69809,-5,0.519380742,0.069256368,6,542.2562197,0.670460954,5.581248057,0.82955,1.842373333,3.660153333,14.38066333,25.55594667,32.25913667,69.65161,0.666031226
0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00165,10000,0,0,0.005,1.00E-05,0.01,0.001047073,0.015028177,6.758559704,51.29916539,0.003426027,0.003559939,0.00364496,0.003857537,0.004104043,0.004282732,0.006234722,C10000D0.5d.330Case,2.59,1,1.88E-08,5.64E-05,0.627986982,0.66,0.189719481,0.302107347,0.951495427,3.07E-07,0,0,20424.50896,-5,0.489607854,0.069673986,1.038,29.12607786,0.253920176,1.249465051,1.1316,1.931708,2.361841333,3.381501333,4.57692,5.448472,12.06966,2.710614743
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.00175,10000,100000,0,0.005,1.00E-05,0.15,0.00132032,0.015621003,6.224525928,47.87190588,0.003647255,0.003788046,0.003874206,0.004093384,0.004351766,0.004536743,0.006474842,aaE100000C10000D0.5dRatio0.7Case,2.9,1,2.24E-08,6.73E-05,0.679608483,0.7,0.22311909,0.328305334,0.970869262,5.29E-06,1457.725948,0,19253.69809,-5,0.519380742,0.084522101,0.1,8.699850798,0.901784774,5.557080156,1.796044,7.369328,11.045224,18.770644,26.542728,31.516064,64.414252,9.201213475
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.002,5000,100,0,0.005,1.00E-05,0.15,0.001103148,0.011581462,7.428787708,66.97186523,0.004154653,0.004318838,0.004420711,0.004678335,0.004980599,0.005193306,0.007452147,aaE100C5000D0.5dRatio0.8Case,3.63,1,3.35E-08,0.000100531,0.77669541,0.8,0.254993246,0.328305334,0.970869262,1.21E-05,1.275510204,0,9626.849045,-5,0.519380742,0.095251187,7.74,277.226576,0.39599537,1.950875759,0.560258333,0.827005208,0.996391667,1.526071875,2.526205208,3.425733333,10.31953021,0.045730459
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.002,5000,5000,0,0.005,1.00E-05,0.15,0.001030708,0.010814737,7.733769894,71.67474815,0.004154296,0.004317826,0.004420078,0.004680641,0.004982006,0.005196248,0.007447899,aaE5000C5000D0.5dRatio0.8Case,3.49,1,3.35E-08,0.000100531,0.77669541,0.8,0.254993246,0.328305334,0.970869262,1.21E-05,63.7755102,0,9626.849045,-5,0.519380742,0.095305878,0.75,67.78202746,0.670460954,5.581248057,1.488377143,5.983248571,11.19643143,23.02151714,34.14508286,41.03338571,80.06775143,4.841027193
0.480619258,0.005150024,0.001307695,0.007843345,0.006434775,0.002,5000,50000,0,0.005,1.00E-05,0.15,0.001001896,0.011379072,7.366233349,63.81789457,0.004158945,0.004323853,0.004426119,0.004683959,0.004981159,0.005189969,0.007334477,aaE50000C5000D0.5dRatio0.8Case,3.66,1,3.35E-08,0.000100531,0.77669541,0.8,0.254993246,0.328305334,0.970869262,1.21E-05,637.755102,0,9626.849045,-5,0.519380742,0.08804725,10,893.1099249,0.941583466,5.520616996,1.23222,14.017532,22.598832,37.507284,50.164804,57.679344,103.587992,21.84857671
0.477321349,0.00517395,0.001522441,0.007411181,0.006130611,0.00312,1000,0,0,0.005,1.00E-05,0.01,0.001361074,0.010507578,7.169431686,64.41856421,0.006504973,0.006773279,0.00692708,0.007308567,0.007759231,0.008075241,0.010802074,R0.1D0.5d.625Case,5,1,1.27E-07,0.000381657,1.206041806,1.248,0.420985535,0.3490638,0.966379652,6.30E-06,0,0,1913.221437,-5,0.522678651,0.12953261,0.1,7.473154561,1.780643483,6.148258419,0.753514,1.03591,1.222022,1.771448,3.014902,4.75284,20.926128,0.054499631
0.510392146,0.005254886,0.002417453,0.008697051,0.006816888,0.00312,1000,0,0,0.005,1.00E-05,0.01,0.001361074,0.010507578,7.169431686,64.41856421,0.006509579,0.006782452,0.006936633,0.007314305,0.007750862,0.008067817,0.010952947,R0.5D0.5d.625Case,5,1,1.27E-07,0.000381657,1.187466293,1.248,0.358742291,0.302107347,0.951495427,5.81E-06,0,0,2042.450896,-5,0.489607854,0.12953261,2.9964,407.6172548,0.763722805,3.716720213,0.546825532,0.770802128,0.909831915,1.300865957,1.989514894,2.699148936,10.75717021,0.023283029
